SampleID,Species,tissue
SRR2064974,Vitis,
SRR2064975,Vitis,
SRR4010871,Vitis,
SRR4010872,Vitis,
SRR4706101,Bryum,
SRR5439751,Brassica_napus,
SRR5439752,Brassica_napus,
SRR5439753,Brassica_napus,
SRR5439754,Brassica_napus,
SRR5439755,Brassica_napus,
SRR5439756,Brassica_napus,
SRR5439757,Brassica_napus,
SRR5439758,Brassica_napus,
SRR5439759,Brassica_napus,
SRR5439760,Brassica_napus,
SRR5439761,Brassica_napus,
SRR5439771,Brassica_napus,
SRR5439781,Brassica_napus,
SRR5439791,Brassica_napus,
SRR5439762,Brassica_napus,
SRR5439772,Brassica_napus,
SRR5439782,Brassica_napus,
SRR5439792,Brassica_napus,
SRR5439763,Brassica_napus,
SRR5439773,Brassica_napus,
SRR5439783,Brassica_napus,
SRR5439793,Brassica_napus,
SRR5439764,Brassica_napus,
SRR5439774,Brassica_napus,
SRR5439784,Brassica_napus,
SRR5439794,Brassica_napus,
SRR5439765,Brassica_napus,
SRR5439775,Brassica_napus,
SRR5439785,Brassica_napus,
SRR5439795,Brassica_napus,
SRR5439766,Brassica_napus,
SRR5439776,Brassica_napus,
SRR5439786,Brassica_napus,
SRR5439796,Brassica_napus,
SRR5439767,Brassica_napus,
SRR5439777,Brassica_napus,
SRR5439787,Brassica_napus,
SRR5439797,Brassica_napus,
SRR5439768,Brassica_napus,
SRR5439778,Brassica_napus,
SRR5439788,Brassica_napus,
SRR5439798,Brassica_napus,
SRR5439769,Brassica_napus,
SRR5439779,Brassica_napus,
SRR5439789,Brassica_napus,
SRR5439770,Brassica_napus,
SRR5439780,Brassica_napus,
SRR5439790,Brassica_napus,
SRR5185924,Brassica_oleracea,
SRR5185925,Brassica_oleracea,
SRR5185926,Brassica_oleracea,
SRR5185927,Brassica_oleracea,
SRR5185928,Brassica_oleracea,
SRR5185929,Brassica_oleracea,
SRR5185934,Brassica_oleracea,
SRR5185939,Brassica_oleracea,
SRR5185944,Brassica_oleracea,
SRR5185930,Brassica_oleracea,
SRR5185935,Brassica_oleracea,
SRR5185940,Brassica_oleracea,
SRR5185945,Brassica_oleracea,
SRR5185931,Brassica_oleracea,
SRR5185936,Brassica_oleracea,
SRR5185941,Brassica_oleracea,
SRR5185946,Brassica_oleracea,
SRR5185932,Brassica_oleracea,
SRR5185937,Brassica_oleracea,
SRR5185942,Brassica_oleracea,
SRR5185947,Brassica_oleracea,
SRR5185933,Brassica_oleracea,
SRR5185938,Brassica_oleracea,
SRR5185943,Brassica_oleracea,
SRR4734837,Cladophora,
SRR4734815,Cratoneuron,
SRR2087830,Espeletia,
SRR2087831,Espeletia,
SRR2087832,Espeletia,
SRR2087834,Espeletia,
SRR2087833,Espeletia,
SRR2087835,Espeletia,
SRR2204159,Grimmia,
SRR2204344,Grimmia,
SRR2204707,Grimmia,
SRR2204709,Grimmia,
SRR4453815,Grimmia,
ERR1745163,Microdesmis,
ERR1745164,Microdesmis,
ERR1745165,Microdesmis,
ERR1745167,Microdesmis,
ERR1745169,Microdesmis,
ERR1745171,Microdesmis,
ERR1745166,Microdesmis,
ERR1745168,Microdesmis,
ERR1745170,Microdesmis,
SRR3747548,Orchid,
SRR5211360,Oryza,
SRR5211361,Oryza,
SRR4263477,Paeonia_rockii,
SRR4267986,Paeonia_rockii,
SRR4289219,Paeonia_rockii,
SRR4289223,Paeonia_rockii,
SRR4265352,Paeonia_suffruticosa,
SRR4265353,Paeonia_suffruticosa,
SRR4267985,Paeonia_suffruticosa,
SRR4267987,Paeonia_suffruticosa,
SRR4289215,Paeonia_suffruticosa,
SRR4289220,Paeonia_suffruticosa,
SRR4267988,Paeonia_suffruticosa,
SRR4289217,Paeonia_suffruticosa,
SRR4289222,Paeonia_suffruticosa,
SRR4267992,Paeonia_suffruticosa,
SRR4289218,Paeonia_suffruticosa,
SRR4289224,Paeonia_suffruticosa,
SRR3742138,Pinus,
SRR3742176,Pinus,
SRR3742177,Pinus,
SRR3742179,Pinus,
SRR3742184,Pinus,
SRR3742193,Pinus,
SRR3742180,Pinus,
SRR3742190,Pinus,
