Origin,RefNum,Teeth Type,Tongue,Eyes,Eye position,Ears,Nose,Snout,Horns,Skin-face/neck,Skin-body,Skin-Belly,Dorsal ridge,Toes,Opposed toes,Legs,Claws,Wings,Wing type,Wing structure,Body Type,Tail end,Size,wiskers
German,1,Blunt,forked; short,small,lateral,spearlike,upturned; forward nostrils,long,absent,smooth,fish scales,wide platemail,absent,3,0,4,short catlike,2,bat-like,4 ridges,elongate,point,,absent
French,2,Fangs,forked; long,average,lateral,absent,upturned; forward nostrils,long,plates,hairy,soft scales,hair,absent,3,1,4,short talon,2,bird-like,,elongate,point,1-2x human,absent
French,3,Blunt&Fangs,wormy; short,,forward,spearlike,pointy; forward nostrils,long,absent,smooth,smooth,smooth,absent,3,0,4,short catlike,2,bat-like,11 ridges,rotund,point,1-2x human,absent
Dutch,4,Pointy,,narrow,lateral,spearlike,upturned; forward nostrils,moderate,absent,scaly skin,round platemail,smooth,single row; spikes,3,1,4,short talon,2,bird-like,5major; 6minor ridges,,,,absent
English,5,,,small,lateral,absent,upturned; lateral nostrils,long,absent,smooth,smooth,smooth,single row; continuous,2,0,4,,2,batlike,5 ridges,elongate,point,1-2x human,absent
American,6,Pointy,single; long,large,lateral,absent,slits; forward,absent,absent,scaly skin,hexagonal scales,wide platemail,absent,0,0,0,0,0,0,0,snake,,3x human,absent
French,7,Blunt&Fangs,forked; long,small,forward,spearlike,upturned; forward nostrils,blunt,absent,hairy,rough,wide platemail,,4,1,4,large talon,2,mix,3major; 1 minor,elongate,point,1-2x human,absent
English,8,Pointy,long,average,lateral,small,slits; lateral,long; duckbill,short,fish scales,fish scales,fish scales,single row; jagged,3,0,2,short talon,2,batlike,7major; 3minor,elongate,split (Y shape),1-2x human,absent
French,9,Pointy,,average,forward,round,upturned; forward nostrils,blunt,absent,hairy,smooth,smooth,absent,3,1,4,short talon,2 wing-leg hybrid,batlike,6 ridges,rotund,point,1-2x human,absent
French,10,Pointy,,average,forward,large dishlike,upturned; forward nostrils,blunt,absent,hairy,extra wide plates,see body,absent,3,0,2,short talon,2 wing-leg hybrid,batlike,7 ridges,elongate,point,1-2x human,absent
Spanish,11,Blunt&Fangs,,small,lateral,round,hooked,long,absent,smooth,,smooth,absent,3,1,4,short talon,2,batlike,4 ridges,elongate,point,1-2x human,absent
Japanese,12,,,average,forward,round,small; forward,long,long,hairy,fish scales,wide platemail,single; overlapping plates,3,1,4,large talongs,absent,,,snake,point,,long
Japanese,13,,,narrow,forward,absent,upturned; forward nostrils,long,absent,spiny,spiny,,absent,3,,,,,,,snake,,,short
Japanese,14,Fangs&Pointy,,large,forward,absent,upturned; forward nostrils,long,short,hairy,fish scales,wide platemail,single,,,0,,0,,,snake,blunt,3x human,short
Japanese,15,Fangs&Pointy,,large,lateral,absent,upturned; forward nostrils,blunt,jagged,spiny,fish scales,wide platemail,absent,,,0,,0,,,snake,,1-2x human,long
Japanese,16,Pointy,short,average,lateral,absent,upturned; forward nostrils,long,2lobed antler,hairy,rough,wide platemail,single; jagged,3,0,2,long catlike,0,,,snake,,,long
Japanese,17,Pointy,,average,forward,spearlike,upturned; forward nostrils,long,2lobed antler,spiny,fish scales,wide platemail,single; spiked,3,0,4,large talon,absent,,,snake,blunt,,long
Japanese,18,Fangs&Pointy,short,large,forward,absent,upturned; forward nostrils,blunt,absent,spiny,large scales,wide platemail,absent,,,4,,0,,,snake,,1-2x human,
Japanese,19,Fangs&Pointy,,large,forward,absent,upturned; forward nostrils,blunt,short,rough,fish scales,wide platemail,absent,,,0,,0,,,snake,,1-2x human,long
Japanese,20,,,average,forward,round,upturned; forward nostrils,blunt,short,hairy,fish scales,wide platemail,single; jagged,3,0,4,short catlike,0,,,snake,,,long
Japanese,21,Fangs&Pointy,short,small,forward,absent,upturned; forward nostrils,long,jagged antlers,hairy,fish scales,wide platemail,single; spiked,3,0,4,large talon,0,,,snake,,,long
Japanese,22,,,large,forward,spearlike,upturned; forward nostrils,long,short antler,hairy,fish scales,wide platemail,single; spiked,3,0,4,large talon,0,,,snake,fan,,medium
Japanese,23,,,average,forward,round,upturned; forward nostrils,long,2lobed antler,hairy,fish scales,wide platemail,single; jagged,3,0,4,large talon,0,,,snake,fan,1-2x human,medium
Japanese,24,,,large,lateral,spearlike,forward,long,2lobed antler,hairy,fish scales,wide platemail,single; spiked,3,0,4,large talon,0,,,snake,fan,,medium
Japanese,25,Fangs&Pointy,,small,forward,absent,upturned; forward nostrils,long,long,hairy,bumpy,double plates,single jagged,3,0,4,large talon,0,,,snake,fan,,long
Japanese,26,Fangs&Pointy,short,average,forward,spearlike,upturned; forward nostrils,long,2lobed antler,hairy,bumpy,double plates,absent,3,0,,large talon,0,,,snake,,,medium
