Well,Chromatogram,Sample,DNA Type,Submission Lot,Project,Primer,DNA Type - Template Size,Comment,Length,Score,Capilary,Ok
A01,1r1_F_P1815443_015.ab1,1r1_F,PURIFIED_PCR,213604,PCRFieldCourse2018,rFW,Purified PCR-750,,608,46.4194,15,TRUE
A02,1r2_F_P1815443_016.ab1,1r2_F,PURIFIED_PCR,213604,PCRFieldCourse2018,rFW,Purified PCR-750,,670,62.5612,16,TRUE
A03,1r4_F_P1815443_031.ab1,1r4_F,PURIFIED_PCR,213604,PCRFieldCourse2018,rFW,Purified PCR-750,,663,62.7753,31,TRUE
A04,1r5_F_P1815443_032.ab1,1r5_F,PURIFIED_PCR,213604,PCRFieldCourse2018,rFW,Purified PCR-750,,671,62.0477,32,TRUE
A05,1I1_F_P1815443_047.ab1,1I1_F,PURIFIED_PCR,213604,PCRFieldCourse2018,IFW,Purified PCR-550,,435,51.9425,47,TRUE
A06,1I2_F_P1815443_048.ab1,1I2_F,PURIFIED_PCR,213604,PCRFieldCourse2018,IFW,Purified PCR-550,,34,30,48,FALSE
A07,1I4_F_P1815443_063.ab1,1I4_F,PURIFIED_PCR,213604,PCRFieldCourse2018,IFW,Purified PCR-550,,410,62.0854,63,TRUE
A08,1Ipos_F_P1815443_064.ab1,1Ipos_F,PURIFIED_PCR,213604,PCRFieldCourse2018,IFW,Purified PCR-550,,383,58.2507,64,TRUE
A09,1Ineg_F_P1815443_079.ab1,1Ineg_F,PURIFIED_PCR,213604,PCRFieldCourse2018,IFW,Purified PCR-550,,437,58.5355,79,TRUE
A10,2r5_F_P1815443_080.ab1,2r5_F,PURIFIED_PCR,213604,PCRFieldCourse2018,rFW,Purified PCR-750,,672,61.5685,80,TRUE
A11,2I5_F_P1815443_095.ab1,2I5_F,PURIFIED_PCR,213604,PCRFieldCourse2018,IFW,Purified PCR-550,,392,59.0383,95,TRUE
A12,3Ipos_F_P1815443_096.ab1,3Ipos_F,PURIFIED_PCR,213604,PCRFieldCourse2018,IFW,Purified PCR-550,,353,36.7025,96,FALSE
B01,3r2_F_P1815443_013.ab1,3r2_F,PURIFIED_PCR,213604,PCRFieldCourse2018,rFW,Purified PCR-750,,611,51.3191,13,TRUE
B02,3rpos_F_P1815443_014.ab1,3rpos_F,PURIFIED_PCR,213604,PCRFieldCourse2018,rFW,Purified PCR-750,,673,61.0743,14,TRUE
B03,4I4_F_P1815443_029.ab1,4I4_F,PURIFIED_PCR,213604,PCRFieldCourse2018,IFW,Purified PCR-550,,381,59.8058,29,TRUE
B04,4I5_F_P1815443_030.ab1,4I5_F,PURIFIED_PCR,213604,PCRFieldCourse2018,IFW,Purified PCR-550,,385,50.7143,30,TRUE
B05,4I6_F_P1815443_045.ab1,4I6_F,PURIFIED_PCR,213604,PCRFieldCourse2018,IFW,Purified PCR-550,,372,58.8521,45,TRUE
B06,4r5_F_P1815443_046.ab1,4r5_F,PURIFIED_PCR,213604,PCRFieldCourse2018,rFW,Purified PCR-750,,667,62.9685,46,TRUE
B07,4r6_F_P1815443_061.ab1,4r6_F,PURIFIED_PCR,213604,PCRFieldCourse2018,rFW,Purified PCR-750,,668,62.5284,61,TRUE
B08,1r1_R_P1815443_062.ab1,1r1_R,PURIFIED_PCR,213604,PCRFieldCourse2018,rRV,Purified PCR-750,,658,44.5228,62,TRUE
B09,1r2_R_P1815443_077.ab1,1r2_R,PURIFIED_PCR,213604,PCRFieldCourse2018,rRV,Purified PCR-750,,562,63.395,77,TRUE
B10,1r4_R_P1815443_078.ab1,1r4_R,PURIFIED_PCR,213604,PCRFieldCourse2018,rRV,Purified PCR-750,,562,63.4342,78,TRUE
B11,1r5_R_P1815443_093.ab1,1r5_R,PURIFIED_PCR,213604,PCRFieldCourse2018,rRV,Purified PCR-750,,661,62.9531,93,TRUE
B12,1I1_R_P1815443_094.ab1,1I1_R,PURIFIED_PCR,213604,PCRFieldCourse2018,IRV,Purified PCR-550,,0,0,94,FALSE
C01,1I2_R_P1815443_011.ab1,1I2_R,PURIFIED_PCR,213604,PCRFieldCourse2018,IRV,Purified PCR-550,,0,0,11,FALSE
C02,1I4_R_P1815443_012.ab1,1I4_R,PURIFIED_PCR,213604,PCRFieldCourse2018,IRV,Purified PCR-550,,407,60.9607,12,TRUE
C03,1Ipos_R_P1815443_027.ab1,1Ipos_R,PURIFIED_PCR,213604,PCRFieldCourse2018,IRV,Purified PCR-550,,359,61.6128,27,TRUE
C04,1Ineg_R_P1815443_028.ab1,1Ineg_R,PURIFIED_PCR,213604,PCRFieldCourse2018,IRV,Purified PCR-550,,332,56.6928,28,TRUE
C05,2r5_R_P1815443_043.ab1,2r5_R,PURIFIED_PCR,213604,PCRFieldCourse2018,rRV,Purified PCR-750,,664,63.4413,43,TRUE
C06,2I5_R_P1815443_044.ab1,2I5_R,PURIFIED_PCR,213604,PCRFieldCourse2018,IRV,Purified PCR-550,,378,60.1931,44,TRUE
