BLOCK,ID,CODE,SOURCE,POP,TRTA,FAMFULL,TRTB,LAT,HERB,VEGWT,RWT
E5,152,P18/F22/I05,E,18,NA,1822,C,45.76868,L,11.807,0.539
E5,153,P04/F80/I05,E,4,NA,480,C,40.06813,H,14.007,1.528
E5,154,P06/F19/I13,E,6,NA,619,C,41.57154,L,7.727,0
E5,155,P17/F76/I05,E,17,NA,1776,C,45.02376,H,14.627,0.619
E5,156,P17/F59/I05,E,17,NA,1759,C,45.02376,H,10.857,0
E5,157,P09/F49/I05,E,9,NA,949,C,42.79109,H,12.337,0
E5,158,P16/F59/I05,E,16,NA,1659,C,44.75284,L,7.817,1.048
E5,159,P05/F28/I05,E,5,NA,528,C,41.42692,L,7.317,0
E5,160,P10/F54/I05,E,10,NA,1054,C,43.69717,H,20.957,0.449
E5,161,P14/F70/I05,E,14,NA,1470,C,44.29771,H,12.727,4.156
E5,162,P22/F46/I05,E,22,NA,2246,C,46.75552,H,13.147,0.389
E5,163,P06/F56/I05,E,6,NA,656,C,41.57154,L,19.197,0
E5,164,P11/F58/I05,E,11,NA,1158,C,43.28958,L,13.127,0
E5,165,P16/F79/I05,E,16,NA,1679,C,44.75284,L,7.217,3.036
E5,166,P18/F02/I05,E,18,NA,1802,C,45.76868,L,7.407,0
E5,167,P19/F06/I05,E,19,NA,1906,C,47.73136,L,6.077,0
E5,168,P22/F32/I05,E,22,NA,2232,C,46.75552,H,18.637,2.216
E5,170,P10/F37/I05,E,10,NA,1037,C,43.69717,H,6.687,0
E5,171,P01/F25/I14,E,1,NA,125,C,38.8235,L,8.407,0
E5,172,P15/F13/I14,E,15,NA,1513,C,44.2915,L,4.407,0
E5,173,P12/F22/I05,E,12,NA,1222,C,44.54749,L,12.597,0.708
E5,174,P15/F42/I05,E,15,NA,1542,C,44.2915,L,6.867,0.439
E5,175,P19/F69/I05,E,19,NA,1969,C,47.73136,L,3.007,0
E5,176,P19/F53/I05,E,19,NA,1953,C,47.73136,L,6.207,0.489
E5,177,P20/F30/I05,E,20,NA,2030,C,48.10384,L,4.937,0
E5,178,P08/F59/I05,E,8,NA,859,C,41.97527,H,5.767,0
E5,179,P22/F45/I05,E,22,NA,2245,C,46.75552,H,8.057,0
E5,180,P03/F75/I05,E,3,NA,375,C,40.23327,H,15.187,0.489
E5,181,P15/F39/I05,E,15,NA,1539,C,44.2915,L,5.677,0.179
E5,182,P04/F66/I05,E,4,NA,466,C,40.06813,H,8.107,0
E5,183,P10/F07/I05,E,10,NA,1007,C,43.69717,H,11.247,0
E5,184,P17/F70/I05,E,17,NA,1770,C,45.02376,H,6.517,0
E5,185,P17/F21/I05,E,17,NA,1721,C,45.02376,H,6.497,0
E5,186,P14/F39/I05,E,14,NA,1439,C,44.29771,H,16.177,0.209
E5,187,P15/F56/I05,E,15,NA,1556,C,44.2915,L,5.367,1.079
E5,188,P18/F80/I05,E,18,NA,1880,C,45.76868,L,10.447,0
E5,189,P11/F37/I05,E,11,NA,1137,C,43.28958,L,12.107,0
E5,190,P01/F17/I05,E,1,NA,117,C,38.8235,L,8.617,0
E5,191,P16/F09/I05,E,16,NA,1609,C,44.75284,L,15.257,2.306
E5,192,P06/F05/I05,E,6,NA,605,C,41.57154,L,16.567,0
E5,193,P17/F13/I05,E,17,NA,1713,C,45.02376,H,5.867,0
E5,194,P08/F43/I05,E,8,NA,843,C,41.97527,H,6.417,0
E5,195,P08/F36/I05,E,8,NA,836,C,41.97527,H,4.697,0
E5,196,P08/F55/I05,E,8,NA,855,C,41.97527,H,8.967,0
E5,197,P09/F36/I05,E,9,NA,936,C,42.79109,H,12.057,0
E5,198,P05/F14/I05,E,5,NA,514,C,41.42692,L,13.307,0
E5,199,P19/F40/I05,E,19,NA,1940,C,47.73136,L,14.347,0
E5,200,P02/F19/I05,E,2,NA,219,C,38.7966,L,21.627,1.926
E5,151,P18/F19/I05,E,18,NA,1819,C,45.76868,L,6.107,0
E5,101,P10/F29/I05,E,10,NA,1029,C,43.69717,H,9.037,0
E5,102,P01/F71/I05,E,1,NA,171,C,38.8235,L,21.607,0
E5,103,P12/F47/I05,E,12,NA,1247,C,44.54749,L,6.747,0
E5,104,P22/F15/I05,E,22,NA,2215,C,46.75552,H,3.107,0
E5,105,P02/F12/I05,E,2,NA,212,C,38.7966,L,17.207,0
E5,106,P10/F76/I05,E,10,NA,1076,C,43.69717,H,5.857,0
E5,107,P12/F60/I05,E,12,NA,1260,C,44.54749,L,2.857,0
E5,109,P06/F65/I05,E,6,NA,665,C,41.57154,L,12.447,0
E5,110,P11/F46/I05,E,11,NA,1146,C,43.28958,L,7.767,0
E5,111,P10/F76/I04,E,10,NA,1076,C,43.69717,H,9.987,0
E5,112,P09/F33/I05,E,9,NA,933,C,42.79109,H,11.627,1.039
E5,113,P10/F02/I05,E,10,NA,1002,C,43.69717,H,17.787,0
E5,114,P12/F52/I05,E,12,NA,1252,C,44.54749,L,11.677,2.168
E5,115,P03/F53/I05,E,3,NA,353,C,40.23327,H,25.117,0
E5,116,P11/F66/I13,E,11,NA,1166,C,43.28958,L,13.617,0.369
E5,117,P16/F05/I05,E,16,NA,1605,C,44.75284,L,14.047,0
E5,118,P20/F07/I05,E,20,NA,2007,C,48.10384,L,16.607,0
E5,119,P11/F15/I05,E,11,NA,1115,C,43.28958,L,15.657,0.349
E5,120,P12/F03/I05,E,12,NA,1203,C,44.54749,L,9.767,2.058
E5,121,P16/F70/I05,E,16,NA,1670,C,44.75284,L,7.117,6.304
E5,122,P03/F45/I05,E,3,NA,345,C,40.23327,H,17.937,0.738
E5,123,P20/F05/I14,E,20,NA,2005,C,48.10384,L,8.967,0
E5,124,P22/F48/I05,E,22,NA,2248,C,46.75552,H,9.237,0.339
E5,125,P17/F01/I05,E,17,NA,1701,C,45.02376,H,14.167,0.219
E5,126,P12/F75/I05,E,12,NA,1275,C,44.54749,L,11.427,0.889
E5,127,P20/F09/I05,E,20,NA,2009,C,48.10384,L,5.407,0
E5,128,P02/F35/I05,E,2,NA,235,C,38.7966,L,21.807,2.097
E5,129,P19/F70/I05,E,19,NA,1970,C,47.73136,L,9.167,0
E5,130,P19/F38/I05,E,19,NA,1938,C,47.73136,L,8.417,0
E5,131,P16/F66/I05,E,16,NA,1666,C,44.75284,L,9.927,1.338
E5,132,P19/F31/I05,E,19,NA,1931,C,47.73136,L,8.797,0.619
E5,134,P12/F36/I05,E,12,NA,1236,C,44.54749,L,9.017,0.309
E5,135,P14/F09/I05,E,14,NA,1409,C,44.29771,H,1.447,0
E5,136,P22/F11/I05,E,22,NA,2211,C,46.75552,H,27.147,2.536
E5,137,P13/F45/I05,E,13,NA,1345,C,44.6076,H,14.607,1.978
E5,138,P14/F16/I05,E,14,NA,1416,C,44.29771,H,16.207,0.819
E5,139,P15/F74/I05,E,15,NA,1574,C,44.2915,L,7.937,0.909
E5,140,P01/F64/I05,E,1,NA,164,C,38.8235,L,4.207,0
