File,Date,collector,Block,ID,Stem Length,Stem Count,Damage
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,1,NA,NA,NA
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,2,NA,NA,NA
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,3,27.5,9,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,4,14,4,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,5,11,3,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,6,11,5,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,7,21,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,8,7.5,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,9,16.5,8,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,10,20,4,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,11,19,4,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,12,19,4,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,13,21.5,17,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,14,19.5,9,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,15,10,9,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,16,14.5,3,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,17,19,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,18,19.5,10,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,19,11,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,20,13.5,10,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,21,19,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,22,15,4,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,23,17.5,11,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,24,18.5,4,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,25,25.5,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,26,14.5,2,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,27,15.5,3,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,28,13.5,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,29,21.5,3,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,30,15,4,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,31,13.5,6,1
