"ID","Species","G","C"
"HN2888240.2","C",24.4904914316731,25.1361137658507
"GC9829430.4","C",27.3981271464562,26.5586820272931
"GH5196060.4","B",30.5796435439526,28.542168830436
"HH1686380.4","A",21.8887451535028,19.4041553981145
"GG4335620.2","B",31.8952153873714,31.0397398892479
"HG9120010.2","B",24.8161433701721,22.2579372458721
"HH4948020.4","A",25.24316151549,23.7181670909148
"QG7210060.2","B",24.9873761031046,23.3743594338605
"HC4220530.4","B",18.751588459494,18.3606528126562
"GH9001040.1","C",20.3069154905893,19.8331160419184
"CG6385510.4","A",21.1451118694863,19.1386690002346
"GQ2723170.1","A",19.5299196639468,18.030308131959
"NH4409880.2","C",27.6444490722935,27.3478221717066
"CQ7948760.3","B",26.7106533258543,25.178205675988
"NC4221530.4","C",25.4638831346917,24.1607235874627
"CN4958720.4","C",26.8379040053343,27.3606853411149
"NH7056750.3","C",25.8898543525842,23.9041305720564
"HQ7862380.4","B",33.4556733935096,31.947756222358
"GC3615930.3","C",23.7202545289087,22.7435676582677
"HC6636920.1","B",31.9162836869713,30.8342723585558
"QC7624490.1","B",26.2750584272013,24.657422617938
"NC6050370.2","C",26.313863435384,24.7246631654455
"HG7148420.4","A",23.3461151041775,22.0165484898302
"NC4098240.2","C",25.1824211489214,24.021268575911
"NC8969970.3","A",23.1480471081402,21.6914917820025
"GC4860920.3","B",26.1726769961445,24.3938634908532
"NC9503890.4","B",23.9040254843421,23.5857051690383
"HC7761070.3","B",28.0239375489654,27.0337513327647
"NC8094090.3","C",29.2360301004066,29.0538979766793
"GN8077520.1","C",20.3984005934508,20.277756532613
"HN5217190.1","C",28.8612807585393,26.2000984303595
"NG7763280.4","A",30.6666650403511,29.1553085209554
"GC7928980.1","A",29.5839531898113,27.8333949504688
"GC9706250.3","B",20.4091430511287,20.5079435722104
"QN6222830.3","C",28.6951287311579,28.1282476093522
"CG1027170.3","C",28.5588401891283,25.8269564885857
"NC7389960.1","A",23.6274586675638,21.9399648164256
"HN9799200.1","A",21.9089648554868,19.9064791039687
"NN6411580.1","A",24.084314629679,23.062964759866
"GN8832870.2","A",23.0736123637931,23.1577024322396
"GN9978700.3","C",23.5660052824787,23.0855495764903
"CN5036870.4","C",24.1514883154883,22.8514058200579
"NH4490970.1","A",26.9790747939605,26.0436228985537
"GQ1902810.1","C",19.5581819088655,19.5252795106186
"QQ9337450.3","A",32.7930639384178,30.301873124458
"QC7740110.3","B",31.7406052955719,29.5673803676794
"NH3649650.2","C",24.3117163461474,21.6405746986854
"QG1003060.2","C",25.1821300798001,22.3955968330222
"GH8325580.1","C",24.4565779159139,24.0765921467338
"CG6302670.2","C",17.4098093738103,14.8174690436162
"CG7747380.1","C",26.3725149949087,25.6581293629699
"GH8587040.2","B",23.8516950955739,24.36710683469
"HG7114160.4","B",26.3932461095146,25.3251605886686
"NN2186760.3","A",25.5893734936243,23.5268119276137
"NH1303190.4","B",15.8919261537078,14.467469841538
"QN4541530.1","A",33.0647304158781,31.7263405295982
"CH9182060.4","C",25.8813896880647,24.1996581084073
"QN9604280.3","B",31.9230752741021,31.6382881043196
"HN2871010.2","C",24.3440244848161,22.0420092301957
"GQ2805960.1","A",28.9237388128448,26.8950235960142
"GC4808470.2","A",21.8385882610115,19.3744404245908
"NG3515450.1","C",28.8802531990675,27.4195173947679
"CC8050040.2","A",27.3740633772248,25.8211054233706
"CC1351010.4","C",25.2145739751085,25.1854336655642
"QN1703270.3","A",26.230869823951,23.9054344877171
"CQ5750310.3","C",23.4071835678525,23.0689987610667
"HQ6388650.4","C",24.2456752363894,22.7416935763293
"GN4341200.4","B",18.9395289320293,18.3144928863925
"NQ2431630.1","C",22.41516972069,22.9398537065228
"GC3043300.2","C",30.195490206785,28.7187001683717
"GH9784020.4","C",20.5867033426219,19.8844760542295
"CQ7717220.4","B",27.4296019588821,27.2479134808208
"QN7100240.2","B",21.7084005424434,20.7514201425742
"HQ2367500.2","C",31.6551908607143,31.2211011712608
"NC3815980.3","A",23.3972585840928,21.6224076946061
"HG7908340.2","B",31.3430108989733,29.8737119096475
"HC3507620.4","A",18.6402466981165,15.9166722266924
"CC6391730.4","A",23.11806756985,20.956936708719
"NG5478420.3","A",28.4253677856801,27.2883767117544
